clip_id,bin_index,start_ms,end_ms,file_path,light_asd_score,mouth_motion,face_track_count
-acsOFbnbjo_s0000629858_e0000632190,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-acsOFbnbjo_s0000629858_e0000632190.mp4,0.1618272066116333,2.6069609507640066,1
-hKbIQj-mCk_s0000791522_e0000796522,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.016989797353744507,1.4153225806451613,1
-hKbIQj-mCk_s0000791522_e0000796522,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.14560973644256592,2.215195246179966,1
-hKbIQj-mCk_s0000791522_e0000796522,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,-0.041765786707401276,0.8726655348047538,1
-hKbIQj-mCk_s0000791522_e0000796522,3,600,800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.050576575100421906,1.2258064516129032,1
-hKbIQj-mCk_s0000791522_e0000796522,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.0740736648440361,1.7470288624787775,1
-hKbIQj-mCk_s0000791522_e0000796522,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.4584386348724365,4.979626485568761,1
-hKbIQj-mCk_s0000791522_e0000796522,24,4800,5000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-hKbIQj-mCk_s0000791522_e0000796522.mp4,0.19976764544844627,3.4310271646859087,1
-krBZmBl65s_s0000048674_e0000053674,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\-krBZmBl65s_s0000048674_e0000053674.mp4,0.4396383762359619,6.224320882852292,1
-l9m0nDJZfM_s0000758850_e0000763850,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-l9m0nDJZfM_s0000758850_e0000763850.mp4,-0.09464412927627563,9.760611205432937,1
