clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
-17kN1xdzBE_s0000569186_e0000574186,-17kN1xdzBE,569.186,574.186,5.0,1.0,1.0,3.18,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000569186_e0000574186.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000573186_e0000578186,-17kN1xdzBE,573.186,578.186,5.0,1.0,1.0,2.81,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000573186_e0000578186.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000582178_e0000587178,-17kN1xdzBE,582.178,587.178,5.0,1.0,1.0,4.34,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000582178_e0000587178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000590178_e0000595178,-17kN1xdzBE,590.178,595.178,5.0,1.0,1.0,2.8,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000590178_e0000595178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000594178_e0000599178,-17kN1xdzBE,594.178,599.178,5.0,1.0,1.0,3.04,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000594178_e0000599178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000598178_e0000603178,-17kN1xdzBE,598.178,603.178,5.0,1.0,1.0,1.81,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000598178_e0000603178.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000602178_e0000606686,-17kN1xdzBE,602.178,606.686,4.508,1.0,1.0,1.5,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000602178_e0000606686.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000606850_e0000609054,-17kN1xdzBE,606.85,609.054,2.204,1.0,1.0,2.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000606850_e0000609054.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000629602_e0000634602,-17kN1xdzBE,629.602,634.602,5.0,0.8,1.0,3.13,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000629602_e0000634602.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000700866_e0000706046,-17kN1xdzBE,700.866,706.046,5.18,1.0,1.0,2.51,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000700866_e0000706046.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000706210_e0000710654,-17kN1xdzBE,706.21,710.654,4.444,1.0,1.0,6.19,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000706210_e0000710654.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000710914_e0000713022,-17kN1xdzBE,710.914,713.022,2.108,1.0,1.0,2.62,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000710914_e0000713022.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000714434_e0000719434,-17kN1xdzBE,714.434,719.434,5.0,0.8,1.0,1.97,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000714434_e0000719434.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000730690_e0000735690,-17kN1xdzBE,730.69,735.69,5.0,1.0,1.0,4.7,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000730690_e0000735690.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000795650_e0000800650,-17kN1xdzBE,795.65,800.65,5.0,1.0,1.0,3.65,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000795650_e0000800650.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-17kN1xdzBE_s0000807650_e0000811198,-17kN1xdzBE,807.65,811.198,3.548,1.0,1.0,6.08,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-17kN1xdzBE_s0000807650_e0000811198.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000051778_e0000054974,-PMSk6LTXoQ,51.778,54.974,3.196,1.0,1.0,4.42,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000051778_e0000054974.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000055490_e0000059102,-PMSk6LTXoQ,55.49,59.102,3.612,0.75,1.0,4.69,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000055490_e0000059102.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
