filename,metadata,audio,input_index,resolved_path,size_bytes
Fa5BUYxH7bE.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),100,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/Fa5BUYxH7bE.mp4,41402552
ftP5Swsx54M.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),101,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/ftP5Swsx54M.mp4,222752116
FufWLL1IIrQ (1).mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),102,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/FufWLL1IIrQ (1).mp4,144637442
FzUSvvqy8CM.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),103,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/FzUSvvqy8CM.mp4,248736781
gLcwunYGr2M.mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),104,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/gLcwunYGr2M.mp4,188045904
GLozqkzTJhA.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),105,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/GLozqkzTJhA.mp4,115070055
GV3HE8mBZUU.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),106,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/GV3HE8mBZUU.mp4,381876805
GVqpmowl8bg (1).mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),107,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/GVqpmowl8bg (1).mp4,62625840
H7ldlmhYH8Q (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),108,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/H7ldlmhYH8Q (1).mp4,371777321
hbocYAIKSBQ.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),109,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/hbocYAIKSBQ.mp4,118745484
HDTkTI6blQI.mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),110,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/HDTkTI6blQI.mp4,125687028
He9sAmSy1Hc.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),111,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/He9sAmSy1Hc.mp4,41484712
HGS2OA-Le38.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),112,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/HGS2OA-Le38.mp4,71068055
hKtZfCSqnKg (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),113,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/hKtZfCSqnKg (1).mp4,255602659
hOoE16YL5og.mp4,"Pass (Height: 2160p, FPS: 29.97)",Pass (Có luồng âm thanh),114,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/hOoE16YL5og.mp4,1301958380
HSiMhREzUhE.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),115,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/HSiMhREzUhE.mp4,68682843
Ht5LpaWs5Ag.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),116,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/Ht5LpaWs5Ag.mp4,279547639
HtJ2Jg1BV5k.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),117,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/HtJ2Jg1BV5k.mp4,178534002
HwyAWtO8nkA.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),118,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/HwyAWtO8nkA.mp4,166149852
I-uqcg6HtaQ (1).mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),119,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/I-uqcg6HtaQ (1).mp4,143243562
i3NHChYz6XA.mp4,"Pass (Height: 1920p, FPS: 30.00)",Pass (Có luồng âm thanh),120,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/i3NHChYz6XA.mp4,175594544
I9lBWevPyRU (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),121,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/I9lBWevPyRU (1).mp4,138474924
Id_dQvGx3o0.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),122,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/Id_dQvGx3o0.mp4,85961067
ig4M5j_5fAc (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),123,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/ig4M5j_5fAc (1).mp4,75387831
iJhFZ5c54e0 (1).mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),124,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/iJhFZ5c54e0 (1).mp4,198794785
iWF2hDxnvcA.mp4,"Pass (Height: 720p, FPS: 25.00)",Pass (Có luồng âm thanh),125,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/iWF2hDxnvcA.mp4,31152491
iWWnZ0GhefE.mp4,"Pass (Height: 1080p, FPS: 24.00)",Pass (Có luồng âm thanh),126,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/iWWnZ0GhefE.mp4,70584044
IxgMK4U3HXA (1).mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),127,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/IxgMK4U3HXA (1).mp4,83675933
iXhJfXM0a2c (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),128,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/iXhJfXM0a2c (1).mp4,79111814
i_TajUsZogs.mp4,"Pass (Height: 2160p, FPS: 30.00)",Pass (Có luồng âm thanh),129,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/i_TajUsZogs.mp4,448308464
i_wG98hlhQk.mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),130,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/i_wG98hlhQk.mp4,82242602
jfoftIhK4bU (1).mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),131,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/jfoftIhK4bU (1).mp4,55284485
JiAg6E1JzqM.mp4,"Pass (Height: 720p, FPS: 25.00)",Pass (Có luồng âm thanh),132,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/JiAg6E1JzqM.mp4,106867407
jKPka1_AAiQ (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),133,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/jKPka1_AAiQ (1).mp4,256709802
JnAMrIIyHZ0.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),134,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/JnAMrIIyHZ0.mp4,158726344
jqVfbBB7hXo (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),135,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/jqVfbBB7hXo (1).mp4,76731037
JuJuerxEEkw.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),136,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/JuJuerxEEkw.mp4,177463821
jUoi3USqyXY.mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),137,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/jUoi3USqyXY.mp4,38005309
k6PKevdH3HM (1).mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),138,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/k6PKevdH3HM (1).mp4,91316907
Kb7vAMj-TBo.mp4,"Pass (Height: 1080p, FPS: 30.00)",Pass (Có luồng âm thanh),139,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/Kb7vAMj-TBo.mp4,187237872
KHDxLY-i7d8 (1).mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),140,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/KHDxLY-i7d8 (1).mp4,154618734
kpS1jsxxXWQ (1).mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),141,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/kpS1jsxxXWQ (1).mp4,194704208
l6smXR8daKM (1).mp4,"Pass (Height: 1080p, FPS: 29.97)",Pass (Có luồng âm thanh),142,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/l6smXR8daKM (1).mp4,112379883
lFDM1nKxun8.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),143,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/lFDM1nKxun8.mp4,221412986
LHw2tpC_1iA (1).mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),144,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/LHw2tpC_1iA (1).mp4,163067994
LJPWzO6GCcw.mp4,"Pass (Height: 1080p, FPS: 25.00)",Pass (Có luồng âm thanh),145,/kaggle/input/datasets/lmanhng/vn-av-df-capstone-dataset-tier2/LJPWzO6GCcw.mp4,170717350
