video_id,url,title,channel,published_at,query
7643746454447705345,https://www.tiktok.com/@vtv24news/video/7643746454447705345,"Tại Hàn Quốc, lần đầu tiên số vụ ly hôn của các cặp vợ chồng sống với...",vtv24news,,user:vtv24news
7643746052075457809,https://www.tiktok.com/@vtv24news/video/7643746052075457809,Một công nhân tại Thổ Nhĩ Kỳ gây chú ý khi nghĩ ra cách bốc vác “nhàn...,vtv24news,,user:vtv24news
7643660139945348360,https://www.tiktok.com/@vtv24news/video/7643660139945348360,"Từ âm nhạc đến các nền tảng số, thói quen sử dụng nội dung có bản quy...",vtv24news,,user:vtv24news
7643659910370102535,https://www.tiktok.com/@vtv24news/video/7643659910370102535,Liên hoan phim Cannes 2026 khép lại với giải Cành cọ vàng thuộc về bộ...,vtv24news,,user:vtv24news
7643659694476643591,https://www.tiktok.com/@vtv24news/video/7643659694476643591,"Trong bối cảnh đàm phán Mỹ - Iran được thúc đẩy, Anh cùng khoảng 40 q...",vtv24news,,user:vtv24news
7643659459033582856,https://www.tiktok.com/@vtv24news/video/7643659459033582856,Mỹ và Iran đang phát đi những tín hiệu tích cực liên quan đến tiến tr...,vtv24news,,user:vtv24news
7643658240856804616,https://www.tiktok.com/@vtv24news/video/7643658240856804616,Nhiều người đang trở thành nạn nhân của các vụ lừa đảo qua mạng chỉ v...,vtv24news,,user:vtv24news
7643611005758573845,https://www.tiktok.com/@vtv24news/video/7643611005758573845,Bangladesh đang đối mặt với đợt bùng phát dịch sởi nghiêm trọng nhất ...,vtv24news,,user:vtv24news
7643599386261490965,https://www.tiktok.com/@vtv24news/video/7643599386261490965,Giới chức Trung Quốc xác nhận vụ nổ khí ga tại một mỏ than ở tỉnh Sơn...,vtv24news,,user:vtv24news
7643599072582061333,https://www.tiktok.com/@vtv24news/video/7643599072582061333,Công an tỉnh Lào Cai vừa triệt phá ổ nhóm mua bán trái phép chất ma t...,vtv24news,,user:vtv24news
7643610820336717076,https://www.tiktok.com/@vtv24news/video/7643610820336717076,Bắc Bộ và Trung Bộ đang bước vào giai đoạn nắng nóng gay gắt nhất của...,vtv24news,,user:vtv24news
