video,filename,start,end,reason,detail,run_id,tier
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,263.554,264.094,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,266.946,270.046,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,270.242,273.502,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,273.666,274.622,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,274.882,283.55,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,284.322,292.542,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,292.706,294.43,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,294.85,296.638,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,296.962,305.726,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,309.89,311.358,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,311.778,312.478,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,312.802,321.95,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,322.274,327.274,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,326.274,331.274,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,330.274,335.274,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,337.218,338.942,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,339.17,344.17,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,343.17,348.17,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,347.17,352.17,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,351.17,355.582,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,356.418,365.086,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,365.25,367.102,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,367.202,370.366,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,370.722,373.182,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,373.794,378.206,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,378.466,382.878,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,390.306,393.79,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,394.37,398.014,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
