filename,video_id,status,accepted_count,rejected_count,decode_backend,decode_attempts,cut_backends,terminal_detail,run_id,tier
7wSRdzqR_eM.mp4,7wSRdzqR_eM,completed,6,145,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 6}",,cutfix_smoke_tier2_20260729_01,tier2
8CPBFGkS4aE.mp4,8CPBFGkS4aE,completed,196,2,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 196}",,cutfix_smoke_tier2_20260729_01,tier2
8Jg10Wyo1iw.mp4,8Jg10Wyo1iw,completed,65,144,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 65}",,cutfix_smoke_tier2_20260729_01,tier2
8S7asZpwEdk (1).mp4,8S7asZpwEdk (1),completed,37,5,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 37}",,cutfix_smoke_tier2_20260729_01,tier2
8VoXsKRhF4w.mp4,8VoXsKRhF4w,completed,169,213,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 169}",,cutfix_smoke_tier2_20260729_01,tier2
8aXhhJkDi0k (1).mp4,8aXhhJkDi0k (1),completed,49,172,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 49}",,cutfix_smoke_tier2_20260729_01,tier2
8tBb0RJlKTY.mp4,8tBb0RJlKTY,completed,68,33,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 68}",,cutfix_smoke_tier2_20260729_01,tier2
8z9_O5t2--8.mp4,8z9_O5t2--8,completed,180,60,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 180}",,cutfix_smoke_tier2_20260729_01,tier2
9SJG1K5oL4U (1).mp4,9SJG1K5oL4U (1),completed,33,4,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 33}",,cutfix_smoke_tier2_20260729_01,tier2
9hdeoNFtRXg.mp4,9hdeoNFtRXg,completed,49,41,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 49}",,cutfix_smoke_tier2_20260729_01,tier2
9rAqnPbXGiE (1).mp4,9rAqnPbXGiE (1),completed,229,124,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 229}",,cutfix_smoke_tier2_20260729_01,tier2
AG-6WUGZcPA (1).mp4,AG-6WUGZcPA (1),completed,100,156,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 100}",,cutfix_smoke_tier2_20260729_01,tier2
AJ7t8LnesSA (1).mp4,AJ7t8LnesSA (1),completed,34,121,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 34}",,cutfix_smoke_tier2_20260729_01,tier2
AP3I7fukGkE.mp4,AP3I7fukGkE,completed,47,68,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 47}",,cutfix_smoke_tier2_20260729_01,tier2
AT51kCQtD2A.mp4,AT51kCQtD2A,completed,143,211,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 143}",,cutfix_smoke_tier2_20260729_01,tier2
AVigy3YWI6I (1).mp4,AVigy3YWI6I (1),completed,37,12,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 37}",,cutfix_smoke_tier2_20260729_01,tier2
A_Tg_IpxObA.mp4,A_Tg_IpxObA,completed,160,239,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 160}",,cutfix_smoke_tier2_20260729_01,tier2
BIBGKbBteHY (1).mp4,BIBGKbBteHY (1),completed,57,90,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 57}",,cutfix_smoke_tier2_20260729_01,tier2
BN4FIL4llpE.mp4,BN4FIL4llpE,completed,82,255,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 82}",,cutfix_smoke_tier2_20260729_01,tier2
C4u-8yJ97Zc (1).mp4,C4u-8yJ97Zc (1),completed,61,175,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 61}",,cutfix_smoke_tier2_20260729_01,tier2
Cwd153VqnbI (1).mp4,Cwd153VqnbI (1),completed,42,175,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 42}",,cutfix_smoke_tier2_20260729_01,tier2
DFUgpdz-VqY.mp4,DFUgpdz-VqY,completed,35,59,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 35}",,cutfix_smoke_tier2_20260729_01,tier2
DFxOwY72IR0 (1).mp4,DFxOwY72IR0 (1),completed,35,138,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 35}",,cutfix_smoke_tier2_20260729_01,tier2
DICZJmg4feU (1).mp4,DICZJmg4feU (1),completed,86,90,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 86}",,cutfix_smoke_tier2_20260729_01,tier2
DKNdwBLdsGE.mp4,DKNdwBLdsGE,completed,192,83,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 192}",,cutfix_smoke_tier2_20260729_01,tier2
DZO6LN2bMiQ.mp4,DZO6LN2bMiQ,completed,167,18,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 167}",,cutfix_smoke_tier2_20260729_01,tier2
Dl9Zr4dGF2M (1).mp4,Dl9Zr4dGF2M (1),completed,88,128,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 88}",,cutfix_smoke_tier2_20260729_01,tier2
Dw8aHVpDP8E.mp4,Dw8aHVpDP8E,completed,59,88,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 59}",,cutfix_smoke_tier2_20260729_01,tier2
E--4dxW9vL0 (1).mp4,E--4dxW9vL0 (1),completed,42,171,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 42}",,cutfix_smoke_tier2_20260729_01,tier2
E8Ip3nNikwA.mp4,E8Ip3nNikwA,completed_no_clips,0,474,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]",{},,cutfix_smoke_tier2_20260729_01,tier2
EAPAzfG1Bb4 (1).mp4,EAPAzfG1Bb4 (1),completed,87,95,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 87}",,cutfix_smoke_tier2_20260729_01,tier2
