clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta
-jDBwP6g2tA_clip0020_t00132,-jDBwP6g2tA,132.834,136.158,3.324,1.0,1.0,12.76,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0020_t00132.mp4,tier1,1
-jDBwP6g2tA_clip0021_t00136,-jDBwP6g2tA,136.61,143.07,6.46,1.0,1.0,12.71,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0021_t00136.mp4,tier1,1
-jDBwP6g2tA_clip0022_t00144,-jDBwP6g2tA,144.322,148.99,4.668,1.0,1.0,13.38,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0022_t00144.mp4,tier1,1
-jDBwP6g2tA_clip0023_t00149,-jDBwP6g2tA,149.186,152.35,3.164,1.0,1.0,13.56,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0023_t00149.mp4,tier1,1
-jDBwP6g2tA_clip0024_t00152,-jDBwP6g2tA,152.738,156.958,4.22,1.0,1.0,13.32,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0024_t00152.mp4,tier1,1
-jDBwP6g2tA_clip0025_t00157,-jDBwP6g2tA,157.09,159.486,2.396,1.0,1.0,13.77,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0025_t00157.mp4,tier1,1
-jDBwP6g2tA_clip0026_t00159,-jDBwP6g2tA,159.906,163.774,3.868,1.0,1.0,13.93,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0026_t00159.mp4,tier1,1
-jDBwP6g2tA_clip0027_t00164,-jDBwP6g2tA,164.77,170.366,5.596,1.0,1.0,13.16,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0027_t00164.mp4,tier1,1
-jDBwP6g2tA_clip0028_t00170,-jDBwP6g2tA,170.818,176.446,5.628,1.0,1.0,12.68,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0028_t00170.mp4,tier1,1
-jDBwP6g2tA_clip0029_t00176,-jDBwP6g2tA,176.546,181.022,4.476,1.0,1.0,12.53,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0029_t00176.mp4,tier1,1
-jDBwP6g2tA_clip0030_t00181,-jDBwP6g2tA,181.218,184.51,3.292,1.0,1.0,13.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0030_t00181.mp4,tier1,1
-jDBwP6g2tA_clip0031_t00184,-jDBwP6g2tA,184.834,189.854,5.02,1.0,1.0,12.5,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0031_t00184.mp4,tier1,1
-jDBwP6g2tA_clip0032_t00190,-jDBwP6g2tA,190.274,193.182,2.908,1.0,1.0,13.97,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0032_t00190.mp4,tier1,1
-jDBwP6g2tA_clip0033_t00195,-jDBwP6g2tA,195.586,198.398,2.812,1.0,1.0,13.64,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0033_t00195.mp4,tier1,1
-jDBwP6g2tA_clip0034_t00198,-jDBwP6g2tA,198.722,200.766,2.044,1.0,1.0,13.77,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0034_t00198.mp4,tier1,1
-jDBwP6g2tA_clip0035_t00200,-jDBwP6g2tA,200.93,207.934,7.004,1.0,1.0,13.77,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0035_t00200.mp4,tier1,1
-jDBwP6g2tA_clip0036_t00209,-jDBwP6g2tA,209.89,215.038,5.148,1.0,1.0,13.05,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0036_t00209.mp4,tier1,1
-jDBwP6g2tA_clip0037_t00215,-jDBwP6g2tA,215.33,217.982,2.652,1.0,1.0,13.26,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0037_t00215.mp4,tier1,1
-jDBwP6g2tA_clip0038_t00218,-jDBwP6g2tA,218.338,221.118,2.78,1.0,1.0,13.81,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0038_t00218.mp4,tier1,1
-jDBwP6g2tA_clip0039_t00223,-jDBwP6g2tA,223.074,231.678,8.604,1.0,1.0,13.06,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0039_t00223.mp4,tier1,1
-jDBwP6g2tA_clip0040_t00233,-jDBwP6g2tA,233.506,238.078,4.572,1.0,1.0,12.35,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0040_t00233.mp4,tier1,1
-jDBwP6g2tA_clip0041_t00238,-jDBwP6g2tA,238.306,242.75,4.444,1.0,1.0,13.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0041_t00238.mp4,tier1,1
-jDBwP6g2tA_clip0042_t00243,-jDBwP6g2tA,243.138,246.622,3.484,1.0,1.0,13.57,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0042_t00243.mp4,tier1,1
-jDBwP6g2tA_clip0043_t00246,-jDBwP6g2tA,246.722,252.67,5.948,1.0,1.0,13.55,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0043_t00246.mp4,tier1,1
-jDBwP6g2tA_clip0044_t00252,-jDBwP6g2tA,252.93,256.062,3.132,1.0,1.0,12.85,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0044_t00252.mp4,tier1,1
-jDBwP6g2tA_clip0045_t00261,-jDBwP6g2tA,261.506,266.686,5.18,1.0,1.0,12.69,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0045_t00261.mp4,tier1,1
-jDBwP6g2tA_clip0046_t00269,-jDBwP6g2tA,269.314,273.054,3.74,1.0,1.0,13.4,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0046_t00269.mp4,tier1,1
-jDBwP6g2tA_clip0047_t00276,-jDBwP6g2tA,276.066,281.086,5.02,1.0,1.0,16.43,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0047_t00276.mp4,tier1,1
-jDBwP6g2tA_clip0048_t00281,-jDBwP6g2tA,281.186,289.086,7.9,1.0,1.0,14.8,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0048_t00281.mp4,tier1,1
-jDBwP6g2tA_clip0049_t00291,-jDBwP6g2tA,291.298,296.298,5.0,1.0,1.0,14.82,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0049_t00291.mp4,tier1,1
-jDBwP6g2tA_clip0050_t00295,-jDBwP6g2tA,295.298,300.298,5.0,1.0,1.0,14.7,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0050_t00295.mp4,tier1,1
-jDBwP6g2tA_clip0051_t00299,-jDBwP6g2tA,299.298,304.298,5.0,1.0,1.0,15.54,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0051_t00299.mp4,tier1,1
