video,start,end,reason
7447119342770081031,,,video_decode_failed
7447465460456639751,,,no_speech_detected
7439248144757443857,1.218,2.302,segment_too_short
7439248144757443857,11.298,11.71,segment_too_short
7439248144757443857,16.194,16.926,segment_too_short
7439248144757443857,18.114,18.462,segment_too_short
7439248144757443857,30.242,31.102,segment_too_short
7451313278829055240,,,no_speech_detected
7453782359100394770,,,no_speech_detected
7449214787927428360,,,video_decode_failed
7460103719829392658,,,no_speech_detected
7460338871927360775,,,video_decode_failed
7454862074049531143,,,video_decode_failed
7460853842305879304,,,no_speech_detected
7460450489826561288,,,video_decode_failed
7461261252271050002,,,video_decode_failed
7462693853162867976,,,video_decode_failed
7463450004942785799,,,video_decode_failed
7461942898716691720,,,video_decode_failed
7464187464366787847,,,video_decode_failed
7465243274660384018,,,no_speech_detected
7463499240321469703,4.482,8.894,face_density_low
7463499240321469703,9.314,10.142,segment_too_short
7463499240321469703,10.658,12.254,segment_too_short
7463499240321469703,13.378,14.724,segment_too_short
7465991062780185863,,,video_decode_failed
7467517397042236680,,,video_decode_failed
7468566341583129863,,,no_speech_detected
7469241803384950034,,,video_decode_failed
7469654612186811656,,,video_decode_failed
7444065242671320336,15.298,15.646,segment_too_short
7444065242671320336,16.194,17.854,segment_too_short
7444065242671320336,22.21,23.23,segment_too_short
7444065242671320336,26.562,27.038,segment_too_short
7444065242671320336,27.138,28.702,segment_too_short
7469685653144407314,,,video_decode_failed
7470546344340409608,,,video_decode_failed
7470889391615921415,,,video_decode_failed
7471223493322034439,,,video_decode_failed
7469391379542707463,,,video_decode_failed
7471230479119830279,,,video_decode_failed
7471266712847912199,,,video_decode_failed
7467730343747980551,0.578,1.598,segment_too_short
7467730343747980551,3.97,4.286,segment_too_short
7467730343747980551,5.794,6.654,segment_too_short
7467730343747980551,11.746,13.15,segment_too_short
7467730343747980551,13.41,14.174,segment_too_short
7467730343747980551,14.946,16.798,segment_too_short
7467730343747980551,17.634,18.622,segment_too_short
7467730343747980551,25.314,26.526,segment_too_short
